,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,
1,245,-132,1060,-116,255,-260,964,-520,254,-136,788,-612,Pose1
2,251,-144,1044,-36,247,-280,932,-432,223,-200,816,-520,
3,238,-140,1024,24,189,-212,1060,-288,222,-216,844,-476,
10,247,-88,1016,28,195,-200,1020,-220,211,-244,916,-456,
11,243,-96,1028,32,191,-132,1092,-184,215,-284,904,-396,
12,243,-64,1012,44,173,-136,1068,-164,207,-240,916,-332,
13,241,-80,1020,72,177,-144,1076,-104,197,-268,960,-352,
14,242,-72,1024,84,161,-108,1044,-104,196,-236,928,-352,
15,237,-60,1024,76,175,-124,1068,-124,207,-240,932,-340,
16,242,-100,1012,96,184,-136,1052,-128,204,-296,912,-316,
17,241,-80,1004,52,193,-144,1060,-144,213,-280,928,-304,
18,241,-92,1016,64,199,-156,1040,-92,199,-296,912,-304,
19,238,-80,1008,48,187,-156,1060,-84,190,-268,940,-312,
20,242,-64,1024,80,177,-132,1060,-84,194,-268,940,-288,
21,241,-88,1024,80,187,-132,1060,-52,187,-268,968,-292,
22,241,-80,1020,76,183,-148,1088,-56,188,-272,940,-284,
23,239,-84,1020,84,169,-148,1060,-44,182,-280,952,-276,
24,237,-88,1004,84,184,-152,1068,-32,180,-268,956,-280,
25,237,-84,1024,92,180,-140,1056,-40,181,-272,964,-284,
26,242,-92,1012,68,189,-152,1052,-28,176,-272,920,-268,
27,237,-92,1020,76,181,-148,1060,-40,179,-276,940,-288,
28,239,-80,1016,80,178,-148,1060,-52,186,-268,952,-296,
29,241,-96,1020,76,186,-128,1072,-28,182,-272,944,-284,
30,237,-92,1016,92,182,-144,1064,-20,173,-272,960,-288,
31,237,-96,1016,84,179,-144,1076,-32,178,-268,940,-272,
32,239,-92,1004,88,179,-144,1072,-36,177,-284,932,-276,
33,238,-92,1016,76,183,-136,1064,-40,178,-284,952,-276,
34,239,-100,1016,92,183,-140,1052,-36,177,-280,936,-276,
35,239,-84,1024,88,187,-152,1080,-28,176,-276,956,-280,
36,240,-92,1020,92,182,-144,1068,-28,179,-276,944,-260,
37,238,-80,1020,76,183,-112,1076,-20,175,-264,956,-288,
38,243,-96,1020,76,186,-144,1068,-36,182,-276,952,-284,
39,240,-80,1004,92,179,-128,1060,-28,180,-260,944,-288,
40,242,-84,1020,64,187,-128,1076,-28,177,-264,940,-268,
41,240,-76,1012,80,183,-128,1064,-24,176,-268,940,-268,
42,242,-88,1012,80,186,-128,1056,-24,175,-256,956,-288,
43,243,-96,1016,84,184,-132,1064,-16,172,-280,948,-268,
44,239,-88,1020,84,186,-144,1072,-16,173,-272,940,-256,
45,237,-88,1008,84,184,-144,1080,-8,171,-284,956,-260,
46,238,-100,1008,80,185,-152,1080,-24,175,-260,956,-264,
47,237,-96,1016,84,188,-144,1080,-16,172,-268,956,-272,
48,242,-96,1012,80,187,-116,1076,-12,170,-260,952,-284,
49,242,-76,1024,80,181,-140,1064,-24,175,-276,932,-272,
50,239,-80,1020,84,180,-136,1080,-32,182,-268,944,-292,
51,245,-88,1012,80,184,-128,1060,-16,176,-272,944,-240,
52,241,-96,1016,88,185,-120,1044,-44,177,-272,948,-288,
53,245,-72,1020,80,176,-128,1064,-24,181,-264,928,-260,
54,242,-84,1016,100,176,-148,1076,-12,176,-272,952,-276,
55,239,-96,1024,100,184,-136,1076,-32,178,-268,948,-280,
56,239,-88,1020,80,185,-136,1072,-24,176,-248,956,-260,
57,240,-80,1008,92,182,-140,1056,4,180,-268,952,-276,
58,242,-80,1024,84,185,-124,1068,-8,170,-264,948,-268,
59,243,-96,1020,88,185,-132,1068,-36,179,-268,944,-280,
60,241,-80,1024,84,187,-140,1064,-24,175,-264,944,-292,
61,244,-80,1020,80,185,-128,1084,-20,173,-252,956,-284,
62,242,-80,1020,84,184,-144,1080,-16,171,-260,940,-276,
63,244,-96,1040,88,178,-152,1048,-20,173,-252,944,-288,
64,243,-84,1020,84,183,-140,1076,-8,169,-272,944,-296,
65,244,-68,1024,84,177,-140,1072,-12,173,-268,956,-304,
66,245,-84,1012,80,185,-144,1088,-16,173,-252,936,-300,
67,244,-84,1024,88,183,-148,1064,24,178,-256,964,-320,
68,248,-84,1020,92,181,-156,1072,-8,170,-260,968,-304,
69,245,-92,1012,96,183,-164,1068,-12,176,-268,944,-316,
70,244,-96,1012,88,185,-140,1068,20,157,-252,936,-288,
71,242,-92,1020,88,185,-164,1064,-12,172,-256,948,-304,
72,242,-84,1016,80,179,-144,1064,16,160,-264,940,-292,
73,244,-68,1016,84,180,-144,1064,20,163,-248,960,-304,
74,247,-80,1016,80,178,-152,1072,-20,176,-268,948,-288,
75,246,-80,1020,92,181,-128,1072,8,161,-256,940,-292,
76,244,-80,1020,84,184,-136,1064,0,178,-260,940,-284,
77,244,-76,1020,84,179,-132,1064,-4,169,-264,940,-288,
78,243,-76,1016,88,184,-132,1052,8,166,-240,956,-264,
79,238,-76,1016,92,182,-140,1064,8,160,-268,952,-288,
80,242,-68,1028,100,178,-132,1052,8,169,-256,948,-284,
81,243,-76,1012,80,183,-132,1084,-4,167,-264,940,-280,
82,243,-76,1024,92,178,-140,1084,-8,169,-264,948,-280,
83,244,-80,1024,88,188,-132,1100,12,159,-248,940,-284,
84,242,-76,1012,84,181,-132,1072,0,165,-240,956,-284,
85,241,-80,1020,84,183,-124,1068,-8,160,-252,956,-268,
86,245,-80,1020,84,181,-116,1100,0,161,-248,948,-276,
87,245,-68,1008,80,183,-124,1064,20,158,-260,960,-288,
88,245,-76,1012,100,178,-148,1092,-8,160,-264,952,-280,
89,244,-76,1020,88,182,-148,1048,8,160,-268,960,-276,
90,243,-76,1004,100,183,-124,1104,4,165,-248,960,-280,
91,239,-80,1024,96,174,-120,1068,-4,156,-256,948,-272,
92,243,-80,1008,80,183,-132,1044,20,177,-260,952,-248,
93,238,-80,1020,96,181,-124,1080,32,150,-260,972,-276,
94,243,-68,1012,92,180,-120,1096,-4,150,-252,928,-280,
95,238,-76,1012,84,180,-128,1100,4,158,-256,944,-260,
96,239,-80,1016,84,176,-156,1036,28,159,-272,980,-248,
97,239,-80,1028,100,175,-132,1088,8,160,-248,952,-260,
98,241,-80,1004,92,180,-124,1092,12,155,-260,948,-248,
99,238,-84,1028,100,180,-104,1060,40,151,-272,964,-252,
100,239,-76,1024,100,176,-144,1084,8,162,-260,952,-260,
101,241,-80,1016,104,181,-160,1076,16,160,-260,952,-296,
102,238,-68,1016,80,181,-148,1052,16,160,-244,976,-276,
103,246,-80,1020,88,184,-120,1072,36,148,-248,956,-280,
104,243,-72,1024,84,179,-120,1076,16,158,-248,948,-268,
