,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,
93,76,179,-164,1080,-32,181,-264,968,-264,241,-76,1024,
94,72,186,-156,1088,-24,180,-272,948,-268,240,-72,1008,
95,56,188,-152,1056,-32,181,-260,944,-268,242,-76,1016,
96,68,183,-144,1080,-24,184,-268,960,-260,239,-76,1012,
97,72,186,-152,1068,-40,186,-256,952,-272,244,-76,1016,
98,64,184,-140,1068,-28,183,-272,956,-260,239,-84,1016,
99,80,185,-160,1052,-16,185,-280,956,-256,239,-68,1004,
100,72,179,-168,1060,-28,181,-276,972,-260,238,-64,1028,
101,88,180,-144,1088,-20,183,-256,976,-256,239,-72,1020,
102,80,178,-140,1084,-28,182,-276,976,-248,240,-80,1020,
103,80,181,-152,1064,-36,183,-256,936,-256,243,-72,1024,
104,76,181,-136,1064,-4,182,-260,968,-264,242,-68,1028,
105,88,177,-132,1064,-48,182,-268,944,-260,239,-68,1012,
106,72,179,-160,1072,-40,188,-248,976,-272,244,-68,1020,
107,80,175,-144,1056,-32,187,-248,956,-260,242,-76,1028,
108,96,170,-132,1060,-24,179,-268,952,-264,241,-80,1016,
109,80,181,-148,1032,-20,179,-268,956,-260,241,-64,1008,
110,84,181,-172,1052,-20,178,-232,960,-244,243,-60,1016,
111,72,179,-132,1088,-40,185,-252,960,-260,239,-60,1028,
112,84,183,-144,1068,-32,181,-264,964,-260,241,-76,1020,
113,92,178,-144,1060,-36,182,-256,976,-268,241,-68,1012,
114,84,177,-136,1068,-36,183,-272,956,-264,243,-72,1020,
115,80,180,-152,1072,-32,182,-260,952,-252,241,-68,1024,
116,88,174,-152,1044,-24,182,-264,960,-256,241,-80,1012,
117,76,181,-160,1076,-12,179,-268,944,-248,238,-76,1020,
118,84,181,-144,1056,-24,177,-280,940,-252,243,-72,1012,
119,88,179,-164,1072,-28,183,-280,968,-256,240,-84,1000,
120,96,182,-148,1088,-36,177,-280,948,-248,239,-68,1024,
121,92,173,-172,1080,-32,174,-260,964,-240,239,-60,1028,
122,88,179,-144,1064,-4,184,-280,968,-260,241,-80,1004,
123,88,178,-152,1084,-24,178,-272,988,-252,237,-76,1028,
124,80,181,-144,1068,-24,184,-272,964,-248,237,-76,1008,
125,92,176,-176,1056,-40,174,-268,960,-256,238,-68,1008,
126,88,174,-148,1060,-44,182,-284,952,-244,239,-76,1020,
127,96,177,-176,1068,-24,179,-252,964,-260,240,-80,1012,
128,92,182,-180,1064,-32,180,-276,976,-244,239,-88,1008,
129,92,184,-188,1072,-20,178,-276,972,-240,238,-88,1024,
130,80,183,-184,1080,-20,176,-272,956,-256,238,-88,1000,
131,80,182,-172,1072,-24,180,-272,996,-260,239,-76,1000,
132,88,187,-160,1072,-28,173,-276,964,-228,237,-80,1024,
133,96,177,-172,1064,-20,177,-284,936,-244,239,-72,1024,
134,100,178,-180,1060,-20,181,-276,956,-248,235,-84,1024,
135,88,176,-160,1072,12,164,-284,932,-228,243,-80,1020,
136,92,178,-164,1048,0,172,-264,968,-244,238,-80,1016,
137,92,173,-144,1060,8,165,-280,952,-224,237,-76,996,
138,100,179,-180,1052,-8,174,-284,952,-232,235,-80,1024,
139,92,180,-156,1064,-16,174,-284,960,-224,236,-76,1004,
140,100,174,-164,1060,-12,174,-252,968,-212,236,-72,1008,
141,100,174,-148,1048,8,165,-264,928,-240,235,-84,1024,
142,112,173,-176,1076,-12,170,-260,980,-232,238,-76,996,
143,108,171,-164,1080,-20,177,-272,968,-232,232,-80,1020,
144,108,174,-176,1056,0,170,-276,944,-236,233,-80,1020,
145,104,174,-152,1096,-40,184,-284,976,-224,234,-92,1012,
146,100,181,-160,1068,-24,170,-256,968,-228,235,-88,1024,
147,104,178,-152,1068,-16,174,-272,980,-236,233,-76,992,
148,96,174,-152,1060,-28,179,-268,968,-236,235,-88,1020,
149,104,178,-180,1068,-24,177,-284,936,-204,231,-88,1020,
150,116,171,-160,1068,-12,172,-268,968,-224,231,-80,1020,
151,104,177,-168,1068,-4,168,-268,944,-224,234,-88,1016,
152,108,174,-148,1084,-4,171,-260,952,-228,235,-84,1020,
153,128,176,-156,1088,-28,168,-272,972,-220,235,-88,1012,
154,128,176,-172,1064,4,175,-252,976,-216,231,-108,1000,
155,96,186,-172,1068,-12,173,-264,936,-220,233,-88,1024,
156,100,172,-184,1052,0,170,-268,976,-220,234,-88,1020,
157,108,176,-144,1064,-20,177,-260,964,-224,235,-80,1004,
158,92,177,-144,1056,-8,170,-272,952,-224,236,-72,1008,
159,104,172,-152,1068,-16,174,-272,968,-232,234,-76,1012,
160,96,171,-160,1064,-16,175,-276,944,-228,237,-68,1016,
161,96,177,-164,1068,-24,174,-252,968,-228,235,-84,992,
162,104,179,-164,1076,-4,171,-280,972,-220,237,-72,1024,
163,92,173,-164,1048,-8,164,-252,988,-224,233,-72,1004,
164,92,175,-164,1080,-8,170,-280,944,-208,232,-76,1024,
165,96,178,-172,1104,12,171,-248,980,-212,231,-80,1012,
166,100,171,-168,1052,12,172,-248,968,-204,235,-84,1012,
167,108,178,-168,1044,12,173,-260,976,-224,237,-88,1024,
168,108,172,-176,1048,-16,172,-264,944,-232,236,-76,1000,
169,104,179,-172,1072,-12,172,-256,956,-244,233,-88,1020,
170,104,180,-152,1048,-8,171,-288,956,-232,234,-76,1008,
171,96,179,-168,1068,-20,175,-248,972,-224,239,-80,1020,
172,88,182,-168,1068,-8,172,-268,920,-220,239,-92,1008,
173,96,182,-168,1068,-8,171,-284,920,-220,232,-88,1024,
174,96,172,-172,1068,8,167,-252,1016,-232,232,-76,992,
175,92,180,-156,1052,8,170,-268,948,-224,234,-64,1020,
176,96,176,-160,1060,-32,178,-276,972,-216,234,-84,1016,
177,100,173,-156,1064,0,169,-260,984,-204,234,-76,1020,
178,104,174,-148,1080,0,168,-264,952,-232,233,-76,1020,
179,104,175,-152,1060,-20,176,-272,952,-232,236,-76,1020,
180,104,175,-204,1056,20,162,-260,960,-232,237,-80,1008,
181,100,176,-160,1104,-12,171,-280,964,-232,236,-76,1020,
182,92,181,-164,1080,0,161,-264,976,-224,236,-84,996,
183,88,174,-168,1088,-4,178,-260,964,-216,237,-80,1028,
184,112,178,-184,1068,16,164,-280,952,-208,236,-76,1016,
185,104,174,-160,1048,-4,163,-268,948,-204,236,-72,1004,
186,104,173,-156,1100,-20,166,-248,960,-216,238,-84,1008,
187,116,177,-196,1076,20,162,-300,948,-204,238,-76,1024,
188,116,182,-188,1048,4,177,-276,960,-204,236,-80,1000,
189,100,173,-188,1048,4,170,-272,960,-212,234,-80,1020,
190,112,174,-172,1068,20,173,-248,984,-232,238,-92,1000,
191,96,180,-168,1072,4,165,-280,948,-224,233,-80,1028,
192,96,178,-176,1016,64,165,-288,936,-232,235,-88,1008,
193,80,183,-192,1080,4,168,-248,980,-228,239,-92,1024,
194,96,178,-188,1060,28,159,-276,936,-224,232,-88,1016,
195,96,178,-132,1088,-36,185,-288,972,-236,235,-92,1000,
196,100,182,-168,1040,-12,172,-296,976,-256,239,-76,1020,
197,96,177,-152,1076,4,162,-292,960,-244,241,-84,1028,
198,112,177,-180,1076,-16,175,-272,976,-228,235,-84,1004,
199,112,180,-180,1076,-12,171,-300,944,-236,235,-84,1012,
200,84,182,-156,1064,-20,172,-252,944,-244,232,-84,1012,
201,96,181,-192,1072,8,170,-252,976,-224,233,-84,1020,
202,112,177,-192,1064,4,167,-264,964,-236,231,-88,1004,
203,112,180,-192,1064,4,165,-268,964,-236,231,-88,1032,
204,104,181,-188,1064,4,159,-256,988,-216,232,-80,992,
205,100,175,-188,1064,-8,171,-272,956,-228,235,-84,1016,
206,116,171,-156,1052,28,153,-256,956,-232,235,-92,1004,
207,116,169,-184,1108,8,163,-260,968,-220,237,-84,1012,
208,112,176,-172,1064,12,163,-256,988,-220,239,-88,1012,
209,120,173,-168,1060,12,165,-280,936,-212,232,-84,1028,
210,116,174,-168,1080,16,154,-252,992,-252,242,-96,1028,
211,120,172,-180,1088,20,161,-280,964,-220,238,-100,1028,
212,96,184,-160,1052,-28,160,-280,944,-224,235,-88,1008,
