time (source1),c1,time (source1),x2,time (source1),y2,time (source1),z2,time (source1),p2,time (source1),r2,time (source1),c2,time (source1),x3,time (source1),y3,time (source1),z3,time (source1),p3,time (source1),r3,time (source1),c3,time (source1),x4,time (source1),y4,time (source1),z4,time (source1),p4,time (source1),r4,time (source1),c4,time (source1),x5,time (source1),y5,time (source1),z5,time (source1),p5,time (source1),r5,time (source1),c5,time (source1),x6,time (source1),y6,time (source1),z6,time (source1),p6,time (source1),r6,time (source1),c6,time (source1),x7,time (source1),y7,time (source1),z7,time (source1),p7,time (source1),r7,time (source1),c7,time (source1),x8,time (source1),y8,time (source1),z8,time (source1),p8,time (source1),r8,time (source1),c8,time (source1),x1,time (source1),y1,time (source1),z1,time (source1),p1,time (source1),r1,Adjusted time,Movements
41.709,0,41.709,0,42.554,0,41.71,0,41.705,0,41.718,0,41.718,0,40.789,0,40.795,0,40.798,0,40.791,0,40.786,0,40.787,0,40.8,0,40.806,0,40.818,0,40.815,0,40.815,0,40.823,0,40.823,-28,40.829,1004,40.836,184,40.837,100,40.844,-172,40.844,21,40.839,16,40.848,1052,40.847,-180,40.845,80,40.864,4,41.762,197,41.768,-348,41.776,856,41.775,-424,41.77,56,41.772,-41,41.765,154,41.765,96,41.773,864,41.761,512,41.75,120,41.764,169,41.777,9,42.616,0,42.617,0,42.622,0,41.817,0,41.822,0,15.405,
42.554,0,42.554,0,43.341,0,42.556,0,42.545,0,42.547,0,42.541,0,41.718,0,41.719,0,41.721,0,41.726,0,41.714,0,41.714,0,41.723,0,41.736,0,41.747,0,41.754,0,41.753,0,41.743,0,41.746,-20,41.762,1004,41.763,208,41.763,101,41.763,-171,41.759,18,41.749,8,41.749,1048,41.75,-176,41.749,80,41.761,6,42.581,196,42.58,-352,42.591,844,42.593,-440,42.608,56,42.598,-39,42.596,154,42.586,80,42.582,896,42.59,496,42.583,119,42.598,169,42.616,4,43.351,0,43.357,0,43.35,0,42.618,0,42.622,0,16.244,
43.352,0,43.348,0,44.098,0,43.347,0,43.348,0,43.349,0,43.339,0,42.534,0,42.53,0,42.53,0,42.529,0,42.525,0,42.531,0,42.538,0,42.551,0,42.557,0,42.556,0,42.557,0,42.544,0,42.551,-28,42.558,1004,42.566,200,42.569,100,42.573,-169,42.575,17,42.564,8,42.559,1060,42.567,-152,42.563,81,42.574,2,43.353,184,43.348,-324,43.354,808,43.351,-472,43.344,57,43.339,-29,43.346,161,43.346,80,43.34,928,43.34,528,43.33,121,43.341,169,43.347,5,44.091,0,44.097,0,44.104,0,43.353,0,43.358,0,16.975,
44.099,0,44.111,0,44.85,0,44.101,0,44.087,0,44.097,0,44.077,0,43.332,0,43.334,0,43.336,0,43.335,0,43.324,0,43.319,0,43.315,0,43.321,0,43.326,0,43.331,0,43.338,0,43.325,0,43.333,-36,43.345,1008,43.348,192,43.352,101,43.358,-171,43.352,19,43.342,-16,43.342,1004,43.338,-224,43.339,79,43.35,-8,44.076,186,44.064,-200,44.077,804,44.08,-560,44.074,54,44.08,-16,44.088,171,44.083,80,44.075,912,44.069,512,44.064,121,44.071,169,44.084,5,44.811,0,44.825,0,44.823,0,44.117,0,44.122,0,17.712,End of pose 2
44.853,0,44.855,0,45.558,0,44.837,0,44.844,0,44.845,0,44.834,0,44.079,0,44.071,0,44.075,0,44.079,0,44.063,0,44.068,0,44.058,0,44.073,0,44.078,0,44.089,0,44.09,0,44.077,0,44.079,-12,44.078,1020,44.08,200,44.08,101,44.083,-176,44.077,12,44.073,-96,44.061,1052,44.069,-276,44.056,72,44.069,-18,44.804,179,44.799,-176,44.799,808,44.8,-648,44.799,48,44.8,-15,44.802,172,44.79,80,44.792,912,44.794,496,44.786,118,44.792,169,44.803,9,45.558,0,45.558,0,45.571,0,44.83,0,44.829,0,18.431,
45.566,0,45.565,0,46.318,0,45.559,0,45.548,0,45.554,0,45.548,0,44.822,0,44.81,0,44.807,0,44.799,0,44.789,0,44.789,0,44.79,0,44.802,0,44.807,0,44.813,0,44.819,0,44.801,0,44.801,-44,44.812,1004,44.815,184,44.815,100,44.809,-170,44.799,15,44.793,-96,44.793,976,44.794,-452,44.794,66,44.802,-16,45.512,174,45.512,-100,45.527,660,45.523,-736,45.516,41,45.524,-7,45.532,179,45.526,96,45.519,928,45.514,448,45.515,115,45.527,169,45.539,2,46.454,0,46.468,0,46.472,0,45.575,0,45.58,0,19.167,
46.312,0,46.311,0,47.222,0,46.322,0,46.324,0,46.329,0,46.325,0,45.541,0,45.536,0,45.531,0,45.53,0,45.524,0,45.518,0,45.527,0,45.527,0,45.527,0,45.526,0,45.527,0,45.508,0,45.503,-48,45.508,1020,45.507,148,45.496,99,45.494,-166,45.501,34,45.49,-288,45.491,932,45.492,-452,45.493,58,45.504,-24,46.418,164,46.416,24,46.428,656,46.429,-776,46.428,38,46.426,0,46.432,182,46.426,64,46.427,944,46.428,384,46.428,113,46.434,168,46.441,359,47.214,0,47.214,0,47.213,0,46.473,0,46.473,0,20.069,
47.21,0,47.222,0,47.936,0,47.223,0,47.213,0,47.213,0,47.202,0,46.333,0,46.327,0,46.329,0,46.335,0,46.333,0,46.338,0,46.345,0,46.351,0,46.362,0,46.362,0,46.369,0,46.362,0,46.37,-56,46.385,1012,46.386,72,46.392,94,46.399,-142,46.399,50,46.397,-384,46.385,840,46.391,-508,46.391,52,46.409,-38,47.221,162,47.216,128,47.222,692,47.213,-752,47.2,43,47.207,7,47.205,189,47.198,96,47.197,960,47.185,368,47.188,111,47.196,160,47.202,339,47.922,0,47.924,0,47.922,0,47.214,0,47.214,0,20.83,
47.933,0,47.933,0,48.659,0,47.929,0,47.924,0,47.917,0,47.913,0,47.195,0,47.195,0,47.196,0,47.19,0,47.187,0,47.183,0,47.183,0,47.201,0,47.201,0,47.204,0,47.206,0,47.2,0,47.194,-24,47.194,1004,47.207,32,47.21,91,47.215,-135,47.21,50,47.204,-392,47.2,852,47.2,-540,47.201,51,47.214,-35,47.919,162,47.915,112,47.922,568,47.918,-776,47.917,37,47.911,10,47.919,187,47.92,80,47.913,1024,47.907,144,47.902,100,47.908,142,47.915,335,48.648,0,48.657,0,48.648,0,47.923,0,47.922,0,21.543,
48.652,0,48.66,0,49.387,0,48.66,0,48.661,0,48.668,0,48.658,0,47.908,0,47.902,0,47.905,0,47.901,0,47.888,0,47.888,0,47.896,0,47.908,0,47.919,0,47.918,0,47.918,0,47.911,0,47.92,-104,47.927,1032,47.934,-24,47.928,84,47.933,-66,47.927,129,47.91,-480,47.911,744,47.906,-568,47.905,44,47.911,-38,48.623,180,48.625,256,48.637,-8,48.633,-928,48.626,-5,48.627,18,48.639,198,48.639,112,48.626,928,48.62,-320,48.621,74,48.628,18,48.634,205,49.393,0,49.405,0,49.397,0,48.65,0,48.65,0,22.262,
