Unnamed: 0,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,rolling_var_x5_10,rolling_var_y5_10,rolling_var_z5_10,rolling_var_c5_10,rolling_var_x6_10,rolling_var_y6_10,rolling_var_z6_10,rolling_var_c6_10,rolling_var_x7_10,rolling_var_y7_10,rolling_var_z7_10,rolling_var_c7_10,rolling_var_x5_20,rolling_var_y5_20,rolling_var_z5_20,rolling_var_c5_20,rolling_var_x6_20,rolling_var_y6_20,rolling_var_z6_20,rolling_var_c6_20,rolling_var_x7_20,rolling_var_y7_20,rolling_var_z7_20,rolling_var_c7_20
0,302,-256,-788,-840,216,340,-716,-868.0,285.0,-80.0,248.0,-1044.0,3640.1600000000008,2223.3599999999997,620855.8400000001,42684.16,550.6,38288.8,413953.44000000006,38951.04,204.85,2211.3599999999997,76590.24000000002,166358.4,4458.39,5103.160000000001,451134.83999999997,59291.64,374.7275,33950.2,296971.96,46882.04000000001,165.5475,2002.3599999999994,43647.840000000004,122882.56000000003
1,304,-260,-796,-840,220,316,-704,-948.0,290.0,-184.0,436.0,-864.0,4144.8,3132.16,524576.0,43536.64,426.2900000000001,31515.039999999997,312771.83999999997,42538.240000000005,171.64000000000001,2515.84,34395.03999999999,105996.15999999999,4001.527500000001,5139.64,342915.9600000001,50058.24,351.3875,25246.559999999998,202136.16,42203.96000000001,118.92749999999998,2043.64,18488.160000000003,73176.15999999999
2,304,-332,-780,-800,222,224,-272,-972.0,275.0,-168.0,776.0,-628.0,4211.16,4832.0,358240.0,39239.03999999999,333.0,22412.8,153189.75999999998,37481.759999999995,66.28999999999999,1785.7599999999998,5767.840000000001,52128.64000000001,3393.54,5127.160000000001,216067.2,39145.4,345.29,16285.439999999999,95514.36000000002,32507.04,47.5275,1291.9600000000003,2988.8,34507.63999999999
3,297,-348,-156,-716,261,224,148,-844.0,255.0,-100.0,1052.0,-224.0,3801.56,5082.24,130247.84,30970.24,285.9599999999999,15196.8,57984.159999999996,24336.0,21.889999999999997,834.5600000000002,176.8,15350.560000000003,2657.8599999999997,4349.240000000001,75123.2,28090.4,328.25,9947.639999999998,34175.03999999999,19988.64,17.589999999999996,639.16,163.03999999999996,10544.76
4,280,-296,716,-552,276,-36,596,-684.0,259.0,-80.0,1036.0,-112.0,2959.2900000000004,4212.0,17831.84,22827.04,365.15999999999997,4362.24,11512.96,15130.24,25.490000000000002,771.2,108.8,8380.960000000001,1900.85,3230.2,10626.56,18790.84,332.2475,2727.84,6735.040000000001,11629.560000000001,16.240000000000002,532.0,108.0,5461.5599999999995
5,277,-308,780,-564,283,-76,816,-712.0,254.0,-120.0,1016.0,-96.0,2122.4100000000008,3689.7599999999998,10560.16,20092.96,348.01,3219.84,2786.5600000000004,12087.2,20.559999999999995,707.3599999999999,112.16,4849.4400000000005,1250.9275,2607.2,6037.6,14588.6,272.1,1844.1600000000003,1642.36,7942.840000000001,11.589999999999998,471.84,91.0,2979.3600000000006
6,256,-304,856,-564,277,-84,848,-516.0,256.0,-72.0,1032.0,52.0,1023.61,2704.1600000000003,5139.359999999999,13176.960000000001,212.65,2426.4,1696.1600000000003,4269.4400000000005,17.009999999999998,212.0,117.75999999999999,857.6,557.49,1728.64,2751.8400000000006,9448.16,171.94750000000002,1318.56,979.96,2871.8,10.36,171.95999999999998,91.0,560.16
7,166,-256,1160,-312,251,-88,928,-516.0,251.0,-40.0,1028.0,88.0,48.410000000000004,1312.64,1747.36,3818.4,90.63999999999999,1532.16,1028.0,2979.2,11.809999999999999,184.95999999999998,138.24,357.76,30.139999999999997,792.76,900.9599999999998,3261.56,80.94750000000002,807.84,622.8399999999999,1921.7599999999998,7.75,124.0,79.84,237.24
8,156,-192,996,-364,251,-152,892,-432.0,251.0,-68.0,1028.0,100.0,30.240000000000002,582.56,438.4,3168.64,70.8,525.44,1026.56,1288.96,11.16,184.96,132.64,183.04,17.810000000000002,347.64000000000004,304.0,2611.04,73.1275,286.2,623.04,850.0400000000002,7.439999999999998,125.43999999999998,84.6,120.76000000000002
9,160,-216,1016,-256,243,-208,908,-444.0,249.0,-36.0,1024.0,128.0,26.4,488.9599999999999,224.15999999999994,803.2,46.8,342.56000000000006,820.64,950.5600000000001,11.16,111.36000000000001,115.84,55.04,15.740000000000004,294.84,162.03999999999996,1013.6,54.64,200.16000000000003,523.2,625.7600000000001,7.109999999999999,77.56,75.84,44.8
